# r   MSF(r)
7.85571142 -0.01295049
7.87174349 -0.01255644
7.88777555 -0.01312889
7.90380762 -0.01260169
7.91983968 -0.01353579
7.93587174 -0.01258785
7.95190381 -0.01323993
7.96793587 -0.01458430
7.98396794 -0.01288751
8.00000000 -0.01287859
